REQ-ID,Type,Source,Priority,Requirement Description,Acceptance Criteria,GitHub Issue,TC-ID,Test Type,Test Description,Test Status,Tested By,Test Date,Notes
FR-005,Functional,Business Analyst,High,Admin dashboard — secure login with email and password,"Admin can log in with valid credentials; invalid credentials show error; session expires after 8 hours",,TC-012,Functional,Log in with valid credentials — verify dashboard access,Not Started,,,
FR-005,Functional,Business Analyst,High,Admin dashboard — secure login with email and password,"Admin can log in with valid credentials; invalid credentials show error; session expires after 8 hours",,TC-013,Functional,Log in with invalid credentials — verify error message,Not Started,,,
FR-005,Functional,Business Analyst,High,Admin dashboard — secure login with email and password,"Admin can log in with valid credentials; invalid credentials show error; session expires after 8 hours",,TC-014,Integration,Verify expired JWT token is rejected by API,Not Started,,,
FR-006,Functional,Business Analyst,High,Admin can view and mark contact messages as read,"All messages listed newest first; unread count shown; clicking message marks it as read",,TC-015,Functional,Submit contact form then verify message appears in admin dashboard,Not Started,,,
FR-006,Functional,Business Analyst,High,Admin can view and mark contact messages as read,"All messages listed newest first; unread count shown; clicking message marks it as read",,TC-016,Integration,Mark message as read — verify is_read flag updates in database,Not Started,,,
FR-007,Functional,Business Analyst,High,Admin can search/filter/edit/deactivate alumni records,"Search by name or email works; filter by year and city works; edit saves correctly; deactivate hides from directory",,TC-017,Functional,Search alumni by name — verify correct results returned,Not Started,,,
FR-007,Functional,Business Analyst,High,Admin can search/filter/edit/deactivate alumni records,"Search by name or email works; filter by year and city works; edit saves correctly; deactivate hides from directory",,TC-018,Functional,Deactivate an alumni record — verify removed from directory,Not Started,,,
FR-008,Functional,Business Stakeholder,Medium,Events section — filter by Upcoming Event and Past Events via navbar dropdown,"Clicking Upcoming Event scrolls to events and shows only 2027 Boston; clicking Past Events shows 2023 and 2025",,TC-019,Functional,Click Upcoming Event from navbar — verify only 2027 Boston shown,Not Started,,,
FR-008,Functional,Business Stakeholder,Medium,Events section — filter by Upcoming Event and Past Events via navbar dropdown,"Clicking Upcoming Event scrolls to events and shows only 2027 Boston; clicking Past Events shows 2023 and 2025",,TC-020,UAT,Non-technical reviewer navigates events using navbar dropdown,Not Started,,,
FR-009,Functional,Business Stakeholder,Medium,Speakers section — year tabs for 2027/2025/2023; 2027 is TBD,"Clicking year tab shows correct speakers; 2027 shows TBD card; speaker photos load correctly",,TC-021,Functional,Switch between speaker year tabs — verify correct data displayed,Not Started,,,
FR-010,Functional,Product Owner,Medium,Privacy Policy page accessible from footer link,"Clicking Privacy Policy in footer opens /privacy page; page scrolls to top; Back to KUANA link returns to home",,TC-022,Functional,Click Privacy Policy footer link — verify page loads correctly,Not Started,,,
FR-010,Functional,Product Owner,Medium,Privacy Policy page accessible from footer link,"Clicking Privacy Policy in footer opens /privacy page; page scrolls to top; Back to KUANA link returns to home",,TC-023,UAT,Legal reviewer reads privacy policy and confirms accuracy,Not Started,,,
NFR-001,Non-Functional,Business Analyst,High,Page load time — site should load within 3 seconds on a standard broadband connection,"Lighthouse performance score > 80; first contentful paint < 2s on desktop",,TC-024,Functional,Run Lighthouse audit — verify performance score meets threshold,Not Started,,,
NFR-002,Non-Functional,Business Stakeholder,High,Mobile responsiveness — site must be fully usable on phones and tablets,"All sections readable on 375px viewport; navbar collapses to hamburger menu; carousel functional on touch",,TC-025,Functional,Open site on iPhone and Android — verify layout and navigation,Not Started,,,
NFR-002,Non-Functional,Business Stakeholder,High,Mobile responsiveness — site must be fully usable on phones and tablets,"All sections readable on 375px viewport; navbar collapses to hamburger menu; carousel functional on touch",,TC-026,UAT,Business stakeholder reviews site on their mobile phone,Not Started,,,
NFR-003,Non-Functional,Product Owner,High,Uptime — site should be available 99% of the time,"Hosting provider SLA meets 99% uptime; deployment on Railway/Render with auto-restart on crash",,TC-027,Integration,Simulate server restart — verify site recovers automatically,Not Started,,,
NFR-004,Non-Functional,Business Analyst,Medium,Browser compatibility — site works on Chrome/Firefox/Safari/Edge,"All features functional on latest versions of Chrome Firefox Safari and Edge",,TC-028,Functional,Test all sections on Chrome Firefox Safari and Edge,Not Started,,,
NFR-005,Non-Functional,Business Stakeholder,Low,Accessibility — site should be usable by people with disabilities,"Images have alt text; color contrast ratio > 4.5:1; keyboard navigation works throughout",,TC-029,Functional,Run axe accessibility audit — verify no critical violations,Not Started,,,
SEC-001,Security,Business Analyst,High,Input validation — all form inputs validated server-side before processing,"Invalid email rejected; name length enforced; SQL special characters do not cause errors; graduation year range enforced",,TC-030,Functional,Submit forms with invalid email format — verify rejection,Not Started,,,
SEC-001,Security,Business Analyst,High,Input validation — all form inputs validated server-side before processing,"Invalid email rejected; name length enforced; SQL special characters do not cause errors; graduation year range enforced",,TC-031,Functional,Submit form with SQL injection string — verify no DB error and input rejected,Not Started,,,
SEC-001,Security,Business Analyst,High,Input validation — all form inputs validated server-side before processing,"Invalid email rejected; name length enforced; SQL special characters do not cause errors; graduation year range enforced",,TC-032,Integration,Verify all API endpoints reject malformed payloads with 400 status,Not Started,,,
SEC-002,Security,Business Analyst,High,Rate limiting — public endpoints protected against abuse,"Contact form: max 5/hr per IP; Alumni register: max 10/hr per IP; Login: max 10 per 15min per IP",,TC-033,Functional,Submit contact form 6 times in 1 hour — verify 6th request is blocked,Not Started,,,
SEC-002,Security,Business Analyst,High,Rate limiting — public endpoints protected against abuse,"Contact form: max 5/hr per IP; Alumni register: max 10/hr per IP; Login: max 10 per 15min per IP",,TC-034,Functional,Attempt 11 logins in 15 minutes — verify account lockout message,Not Started,,,
SEC-003,Security,Business Analyst,High,Admin authentication — JWT token required for all admin API routes,"Unauthenticated requests to /api/alumni return 401; expired tokens rejected; tokens expire after 8 hours",,TC-035,Functional,Call GET /api/alumni without token — verify 401 response,Not Started,,,
SEC-003,Security,Business Analyst,High,Admin authentication — JWT token required for all admin API routes,"Unauthenticated requests to /api/alumni return 401; expired tokens rejected; tokens expire after 8 hours",,TC-036,Integration,Tamper with JWT token — verify API rejects modified token,Not Started,,,
SEC-004,Security,Business Analyst,High,HTTPS encryption — all traffic served over HTTPS/TLS,"No HTTP endpoints exposed in production; security headers set by Helmet.js; HSTS header present",,TC-037,Functional,Access site over HTTP — verify redirect to HTTPS,Not Started,,,
SEC-004,Security,Business Analyst,High,HTTPS encryption — all traffic served over HTTPS/TLS,"No HTTP endpoints exposed in production; security headers set by Helmet.js; HSTS header present",,TC-038,Integration,Run security header check — verify Helmet headers present on all responses,Not Started,,,
SEC-005,Security,Product Owner,High,No PII stored for donations — donation redirects to external platform only,"No payment data stored in DB; clicking donate opens external site; no donor fields in KUANA database",,TC-039,Functional,Click donate button — verify redirected to external site with no data submitted to KUANA,Not Started,,,
SEC-005,Security,Product Owner,High,No PII stored for donations — donation redirects to external platform only,"No payment data stored in DB; clicking donate opens external site; no donor fields in KUANA database",,TC-040,UAT,Product Owner confirms no financial data stored in admin dashboard,Not Started,,,
SEC-006,Security,Business Analyst,High,SQL injection prevention — all queries use parameterized statements,"No raw SQL string concatenation; all user inputs passed as parameters; verified by code review",,TC-041,Functional,Submit SQL injection payload in all form fields — verify no DB errors or data leaks,Not Started,,,
SEC-007,Security,Business Analyst,High,XSS prevention — user input not rendered as HTML anywhere in the UI,"React JSX escaping prevents script injection; no dangerouslySetInnerHTML used; CSP headers set",,TC-042,Functional,Submit script tag in form fields — verify it renders as plain text not executed,Not Started,,,
